ID,Start Time,End Time,Duration,"1. Are you at least 18 years old, have read the instructions, and voluntarily participate in this survey?",2. What is your age range?,3. How familiar are you with generative AI tools such as ChatGPT?,"4. Do you have experience in software requirements analysis, product design, or software engineering?",5. Case 1,"6. (Case 1) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","7. (Case 1) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","8. (Case 1) Which output better conforms to clear, specific, and verifiable software requirement expressions?",9. Case 2,"10. (Case 2) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","11. (Case 2) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions? [Option Fill-in]",13. Case 3,"14. (Case 3) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","15. (Case 3) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","16. (Case 3) Which output better conforms to clear, specific, and verifiable software requirement expressions?","17. Considering all three cases, which output overall more stably transforms user conversations into traceable software requirements?","18. If you were a software requirements analyst, which output would you prefer to use as the basis for subsequent requirements review?",Language,Data Cleaning Status,AI Cleaning Invalidity Probability,Geographic Location: Country/Region,Geographic Location: Province,Geographic Location: City,Custom Field,IP,UA,Referrer,
33,28-Jun-2026 19:17:22,28-Jun-2026 19:18:16,54,A. Yes,A. 18–24 years old,A. Completely unfamiliar,A. None,,A. Output A,A. Output A,B. Output B,,A. Output A,C. Both are similar,B. Output B,,,B. Output B,C. Both are similar,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Wuzhong City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; PLU110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
32,28-Jun-2026 19:06:34,28-Jun-2026 19:08:33,119,A. Yes,A. 18–24 years old,D. Fairly familiar,A. None,,B. Output B,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,,A. Output A,B. Output B,B. Output B,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; V2352A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.8.4 wisedu/9.8.4",,
31,28-Jun-2026 19:02:28,28-Jun-2026 19:08:01,333,B. No (Please select to end the questionnaire),A. 18–24 years old,D. Fairly familiar,D. 1–3 years of practical experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,,A. Output A,B. Output B,A. Output A,C. Both are similar,D. Unwilling to use either,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
30,28-Jun-2026 19:05:42,28-Jun-2026 19:06:37,55,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,A. Output A,B. Output B,A. Output A,,,B. Output B,A. Output A,B. Output B,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 15; ALI-AN00 Build/HONORALI-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 cpdaily/9.6.3 wisedu/9.6.3",,
29,28-Jun-2026 19:05:17,28-Jun-2026 19:06:06,49,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,D. Unwilling to use either,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Zhongwei City,,119**********,"Mozilla/5.0 (Linux; Android 16; 2407FRK8EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36 cpdaily/9.9.18 wisedu/9.9.18",,
28,28-Jun-2026 19:05:05,28-Jun-2026 19:05:46,41,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,A. Output A,A. No response required,B. Output B,B. Output B,B. Output B,,,A. Output A,B. Output B,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 16; DVD-AN80 Build/HONORDVD-AN80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
27,28-Jun-2026 19:04:50,28-Jun-2026 19:05:21,31,A. Yes,A. 18–24 years old,C. Average,A. None,,A. Output A,B. Output B,A. Output A,,B. Output B,A. Output A,A. Output A,,,A. Output A,A. Output A,A. Output A,B. Output B,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; PKG110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
26,28-Jun-2026 19:04:19,28-Jun-2026 19:04:54,35,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,B. Output B,C. Both are similar,B. Output B,,C. Both are similar,B. Output B,B. Output B,,,B. Output B,C. Both are similar,B. Output B,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; PLQ110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
25,28-Jun-2026 19:04:14,28-Jun-2026 19:04:48,34,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,,A. Output A,B. Output B,A. Output A,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 16; DVD-AN80 Build/HONORDVD-AN80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
24,28-Jun-2026 19:01:47,28-Jun-2026 19:04:47,180,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,B. Output B,,B. Output B,C. Both are similar,B. Output B,,,A. Output A,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240*********************************,"Mozilla/5.0 (Linux; Android 16; 23127PN0CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36 cpdaily/9.9.18 wisedu/9.9.18",,
23,28-Jun-2026 19:01:47,28-Jun-2026 19:04:13,146,A. Yes,A. 18–24 years old,C. Average,A. None,,D. Neither is ideal,A. Output A,B. Output B,,A. Output A,A. Output A,A. Output A,,,B. Output B,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; PKG110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
22,28-Jun-2026 19:03:04,28-Jun-2026 19:03:31,27,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,B. Output B,A. Output A,,,A. Output A,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; 24129PN74C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.207 Mobile Safari/537.36 cpdaily/9.9.6 wisedu/9.9.6",,
21,28-Jun-2026 19:02:05,28-Jun-2026 19:02:59,54,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,C. Both are similar,C. Both are similar,C. Both are similar,,C. Both are similar,B. Output B,A. Output A,,,B. Output B,A. Output A,D. Neither is ideal,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240*******************,"Mozilla/5.0 (Linux; Android 16; PLW110 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
20,28-Jun-2026 19:01:54,28-Jun-2026 19:02:47,53,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,A. No response required,A. Output A,A. Output A,A. Output A,,,B. Output B,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; 24129PN74C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.207 Mobile Safari/537.36 cpdaily/9.9.6 wisedu/9.9.6",,
19,28-Jun-2026 19:01:51,28-Jun-2026 19:02:43,52,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,C. Both are similar,C. Both are similar,C. Both are similar,,,C. Both are similar,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
18,28-Jun-2026 17:18:10,28-Jun-2026 17:19:49,99,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,C. Both are similar,A. Output A,D. Neither is ideal,A. No response required,C. Both are similar,C. Both are similar,C. Both are similar,,,C. Both are similar,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Guyuan City,,240**********************************,"Mozilla/5.0 (Linux; Android 12; BLK-AL80 Build/HUAWEIBLK-AL80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 cpdaily/9.9.18 wisedu/9.9.18",,
17,28-Jun-2026 17:18:03,28-Jun-2026 17:19:08,65,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,None,B. Output B,B. Output B,B. Output B,A. No response required,B. Output B,C. Both are similar,C. Both are similar,,,B. Output B,B. Output B,C. Both are similar,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Wuzhong City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; V2352A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
16,28-Jun-2026 17:07:09,28-Jun-2026 17:11:16,247,A. Yes,A. 18–24 years old,D. Fairly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,,,A. Output A,A. Output A,A. Output A,C. Both are similar,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 12; MIZ-BD00 Build/HinovaMIZ-BD00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
15,28-Jun-2026 17:04:35,28-Jun-2026 17:10:29,354,A. Yes,A. 18–24 years old,D. Fairly familiar,D. 1–3 years of practical experience,,A. Output A,A. Output A,B. Output B,A. No response required,A. Output A,B. Output B,C. Both are similar,,,C. Both are similar,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Guyuan City,,240************************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
14,28-Jun-2026 17:07:12,28-Jun-2026 17:08:06,54,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,A. Output A,,,A. Output A,A. Output A,A. Output A,B. Output B,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.16 wisedu/9.9.16",,
13,28-Jun-2026 16:42:35,28-Jun-2026 16:44:12,97,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,B. Output B,A. Output A,C. Both are similar,,,B. Output B,A. Output A,B. Output B,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 14; PJG110 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
12,28-Jun-2026 15:55:41,28-Jun-2026 16:00:16,275,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,B. Output B,B. Output B,A. No response required,B. Output B,B. Output B,E. Other ____________,,,B. Output B,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
11,28-Jun-2026 14:56:58,28-Jun-2026 14:59:19,141,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,C. Both are similar,A. Output A,A. Output A,,A. Output A,A. Output A,C. Both are similar,,,A. Output A,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240**********************************,"Mozilla/5.0 (Linux; Android 16; PLQ110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
10,28-Jun-2026 14:43:01,28-Jun-2026 14:46:36,215,B. No (Please select to end the questionnaire),A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,D. Neither is ideal,A. Output A,,,D. Neither is ideal,C. Both are similar,A. Output A,C. Both are similar,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.16 wisedu/9.9.16",,
9,28-Jun-2026 14:31:29,28-Jun-2026 14:35:14,225,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,A. No response required,B. Output B,B. Output B,B. Output B,,,B. Output B,B. Output B,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,111**********,"Mozilla/5.0 (Linux; Android 16; PLQ110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.6 wisedu/9.9.6",,
8,28-Jun-2026 13:55:21,28-Jun-2026 13:59:00,219,A. Yes,A. 18–24 years old,B. Slightly familiar,A. None,,A. Output A,D. Neither is ideal,C. Both are similar,,A. Output A,C. Both are similar,D. Neither is ideal,,,C. Both are similar,A. Output A,C. Both are similar,C. Both are similar,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Wuzhong City,,240*******************,"Mozilla/5.0 (Linux; Android 13; V2219A Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.74 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
7,28-Jun-2026 11:56:09,28-Jun-2026 12:08:34,745,A. Yes,B. 25–34 years old,D. Fairly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Guangdong Province,Zhongshan City,,113***********,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541a1f) XWEB/19921 Flue",,
6,28-Jun-2026 08:44:19,28-Jun-2026 09:21:28,2229,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; ELP-AN00 Build/HONORELP-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
5,28-Jun-2026 06:32:39,28-Jun-2026 06:33:36,57,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,C. Both are similar,,A. Output A,B. Output B,C. Both are similar,,,A. Output A,B. Output B,C. Both are similar,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Yinchuan City,,240***********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.12 wisedu/9.9.12",,
4,28-Jun-2026 02:12:32,28-Jun-2026 02:15:51,199,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,,,39.*********,"Mozilla/5.0 (Linux; Android 14; PFTM20 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
