participant_id,"1. Are you at least 18 years old, have read the instructions, and voluntarily participate in this survey?",2. What is your age range?,3. How familiar are you with generative AI tools such as ChatGPT?,"4. Do you have experience in software requirements analysis, product design, or software engineering?",5. Case 1,"6. (Case 1) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","7. (Case 1) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","8. (Case 1) Which output better conforms to clear, specific, and verifiable software requirement expressions?",9. Case 2,"10. (Case 2) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","11. (Case 2) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions?",13. Case 3,"14. (Case 3) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","15. (Case 3) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","16. (Case 3) Which output better conforms to clear, specific, and verifiable software requirement expressions?","17. Considering all three cases, which output overall more stably transforms user conversations into traceable software requirements?","18. If you were a software requirements analyst, which output would you prefer to use as the basis for subsequent requirements review?",Language
P011,A. Yes,A. 18–24 years old,A. Completely unfamiliar,A. None,,A. Output A,A. Output A,B. Output B,,A. Output A,C. Both are similar,B. Output B,,B. Output B,C. Both are similar,B. Output B,B. Output B,B. Output B,Simplified Chinese
P012,A. Yes,A. 18–24 years old,D. Fairly familiar,A. None,,B. Output B,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,A. Output A,B. Output B,B. Output B,A. Output A,B. Output B,Simplified Chinese
P013,B. No (Please select to end the questionnaire),A. 18–24 years old,D. Fairly familiar,D. 1–3 years of practical experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,A. Output A,B. Output B,A. Output A,C. Both are similar,D. Unwilling to use either,Simplified Chinese
P014,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,A. Output A,B. Output B,A. Output A,,B. Output B,A. Output A,B. Output B,A. Output A,B. Output B,Simplified Chinese
P015,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,D. Unwilling to use either,Simplified Chinese
P016,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,A. Output A,A. No response required,B. Output B,B. Output B,B. Output B,,A. Output A,B. Output B,B. Output B,B. Output B,B. Output B,Simplified Chinese
P017,A. Yes,A. 18–24 years old,C. Average,A. None,,A. Output A,B. Output B,A. Output A,,B. Output B,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,B. Output B,A. Output A,Simplified Chinese
P018,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,B. Output B,C. Both are similar,B. Output B,,C. Both are similar,B. Output B,B. Output B,,B. Output B,C. Both are similar,B. Output B,A. Output A,B. Output B,Simplified Chinese
P019,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,A. Output A,B. Output B,A. Output A,B. Output B,B. Output B,Simplified Chinese
P020,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,B. Output B,,B. Output B,C. Both are similar,B. Output B,,A. Output A,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese
P021,A. Yes,A. 18–24 years old,C. Average,A. None,,D. Neither is ideal,A. Output A,B. Output B,,A. Output A,A. Output A,A. Output A,,B. Output B,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese
P022,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,B. Output B,A. Output A,,A. Output A,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese
P023,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,C. Both are similar,C. Both are similar,C. Both are similar,,C. Both are similar,B. Output B,A. Output A,,B. Output B,A. Output A,D. Neither is ideal,A. Output A,B. Output B,Simplified Chinese
P024,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,A. No response required,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese
P025,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,C. Both are similar,C. Both are similar,C. Both are similar,,C. Both are similar,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese
P026,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,C. Both are similar,A. Output A,D. Neither is ideal,A. No response required,C. Both are similar,C. Both are similar,C. Both are similar,,C. Both are similar,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese
P027,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,B. Output B,B. Output B,A. No response required,B. Output B,C. Both are similar,C. Both are similar,,B. Output B,B. Output B,C. Both are similar,B. Output B,B. Output B,Simplified Chinese
P028,A. Yes,A. 18–24 years old,D. Fairly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,C. Both are similar,A. Output A,Simplified Chinese
P029,A. Yes,A. 18–24 years old,D. Fairly familiar,D. 1–3 years of practical experience,,A. Output A,A. Output A,B. Output B,A. No response required,A. Output A,B. Output B,C. Both are similar,,C. Both are similar,B. Output B,A. Output A,A. Output A,A. Output A,Simplified Chinese
P030,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,B. Output B,A. Output A,Simplified Chinese
P031,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,B. Output B,A. Output A,C. Both are similar,,B. Output B,A. Output A,B. Output B,C. Both are similar,C. No obvious preference,Simplified Chinese
P032,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,B. Output B,B. Output B,B. Output B,A. No response required,B. Output B,B. Output B,E. Other ____________,,B. Output B,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese
P033,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,C. Both are similar,A. Output A,A. Output A,,A. Output A,A. Output A,C. Both are similar,,A. Output A,C. Both are similar,C. Both are similar,C. Both are similar,C. No obvious preference,Simplified Chinese
P034,B. No (Please select to end the questionnaire),A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,D. Neither is ideal,A. Output A,,D. Neither is ideal,C. Both are similar,A. Output A,C. Both are similar,A. Output A,Simplified Chinese
P035,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,A. No response required,B. Output B,B. Output B,B. Output B,,B. Output B,B. Output B,B. Output B,B. Output B,B. Output B,Simplified Chinese
P036,A. Yes,A. 18–24 years old,B. Slightly familiar,A. None,,A. Output A,D. Neither is ideal,C. Both are similar,,A. Output A,C. Both are similar,D. Neither is ideal,,C. Both are similar,A. Output A,C. Both are similar,C. Both are similar,A. Output A,Simplified Chinese
P037,A. Yes,B. 25–34 years old,D. Fairly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,D. Neither is ideal,D. Neither is ideal,D. Neither is ideal,A. Output A,A. Output A,Simplified Chinese
P038,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese
P039,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,C. Both are similar,,A. Output A,B. Output B,C. Both are similar,,A. Output A,B. Output B,C. Both are similar,A. Output A,B. Output B,Simplified Chinese
P040,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese
P041,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,"Software Requirement: The system shall help users reduce the intake of junk food at home and guide them to choose healthy food options.
Original: The system shall help users reduce the intake of junk food at home and guide them to choose healthy food options.

Evidence Snippet: I've tried working out and eating fruits and vegetables， but I always seem to eat the junk in the house.
Original: I've tried working out and eating fruits and vegetables， but I always seem to eat the junk in the house.

Generation Reason: Reducing junk food intake and guiding healthy food choices can help users improve their eating behaviors and achieve health management goals.
Original: Reducing junk food intake and guiding healthy food choices can help users improve their eating behaviors and achieve health management goals.

Acceptance Criteria: The system can detect users' junk food intake behaviors， send reminders， and provide healthy food alternative suggestions.
Original: The system can detect users' junk food intake behaviors， send reminders， and provide healthy food alternative suggestions.",A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,"Core of Original User Conversation: The user is overly concerned about others' evaluations, fears not being recognized, and has feelings of self-denial, needing a safe space for expression and emotional acceptance.

• Output A:

◦ Software Requirement: Providing a non-judgmental platform for expression directly addresses the user's core pain point of ""needing to leave a good impression on others and fearing being disliked.""

◦ Evidence Snippet: Directly quotes the user's original words, with strong traceability.

◦ Acceptance criteria and reasons are also closely aligned with user needs.

• Output B:

◦ Software Requirement: Providing feedback on personal achievements is completely irrelevant to the content of the user's original conversation.

◦ The evidence snippet is a description of system functions, does not quote user conversation content, and cannot be traced back to the user's actual expression.",A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese
P042,A. Yes,B. 25–34 years old,E. Very familiar,E. More than 3 years of practical experience,,A. Output A,A. Output A,A. Output A,,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,C. Both are similar,B. Output B,Simplified Chinese
P043,A. Yes,A. 18–24 years old,A. Completely unfamiliar,B. Only course learning experience,,C. Both are similar,A. Output A,B. Output B,,B. Output B,A. Output A,B. Output B,,B. Output B,A. Output A,A. Output A,D. Neither is ideal,A. Output A,Simplified Chinese
